9: nome_desti, 4: nome_orige
9: Fortaleza dos Nogueiras, 4: S?o Pedro dos Crentes
9: Guara?, 4: Pequizeiro
9: Passa e Fica, 4: Monte das Gameleiras
9: Passa e Fica, 4: Serra de S?o Bento
9: Passa e Fica, 4: Monte das Gameleiras
9: Passa e Fica, 4: Serra de S?o Bento
9: Pau dos Ferros, 4: ?gua Nova
9: Pau dos Ferros, 4: Alexandria
9: Pau dos Ferros, 4: Doutor Severiano
9: Pau dos Ferros, 4: Encanto
9: Pau dos Ferros, 4: Francisco Dantas
9: Pau dos Ferros, 4: Jos? da Penha
9: Guara?, 4: Colm?ia
9: Pau dos Ferros, 4: Lu?s Gomes
9: Pau dos Ferros, 4: Major Sales
9: Pau dos Ferros, 4: Marcelino Vieira
9: Pau dos Ferros, 4: Martins
9: Pau dos Ferros, 4: Paran?
9: Pau dos Ferros, 4: Portalegre
9: Pau dos Ferros, 4: Rafael Fernandes
9: Pau dos Ferros, 4: Riacho da Cruz
9: Pau dos Ferros, 4: Riacho de Santana
9: Pau dos Ferros, 4: S?o Francisco do Oeste
9: Guara?, 4: Presidente Kennedy
9: Pau dos Ferros, 4: S?o Miguel
9: Pau dos Ferros, 4: Serrinha dos Pintos
9: Pau dos Ferros, 4: Taboleiro Grande
9: Pau dos Ferros, 4: Tenente Ananias
9: Pau dos Ferros, 4: Vi?osa
9: Pau dos Ferros, 4: ?gua Nova
9: Pau dos Ferros, 4: Alexandria
9: Pau dos Ferros, 4: Doutor Severiano
9: Pau dos Ferros, 4: Encanto
9: Pau dos Ferros, 4: Francisco Dantas
9: Marab?, 4: Nova Ipixuna
9: Guara?, 4: Recursol?ndia
9: Pau dos Ferros, 4: Jos? da Penha
9: Pau dos Ferros, 4: Lu?s Gomes
9: Pau dos Ferros, 4: Major Sales
9: Pau dos Ferros, 4: Marcelino Vieira
9: Pau dos Ferros, 4: Martins
9: Pau dos Ferros, 4: Paran?
9: Pau dos Ferros, 4: Portalegre
9: Pau dos Ferros, 4: Rafael Fernandes
9: Pau dos Ferros, 4: Riacho da Cruz
9: Pau dos Ferros, 4: Riacho de Santana
